,Unnamed: 0,name,rating,price,img_url
1,1,Tipping the Velvet,1,53.74,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
2,2,Soumission,1,50.1,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
5,5,The Requiem Red,1,22.65,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
9,9,The Black Maria,1,52.15,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
17,17,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
20,20,In Her Wake,1,12.84,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg
16,16,Olio,1,23.88,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
33,33,The Bear and the Piano,1,36.89,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
51,51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
50,50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
55,55,The Torch Is Passed: A Harding Family Story,1,19.09,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg
56,56,The Secret of Dreadwillow Carse,1,56.13,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
57,57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
45,45,When We Collided,1,31.77,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
37,37,"In a Dark, Dark Wood",1,19.63,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
67,67,The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
82,82,"Pop Gun War, Volume 1: Gift",1,18.97,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
96,96,"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
86,86,orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
87,87,Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,https://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
66,66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
71,71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
18,18,Libertarianism for Beginners,2,51.33,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
89,89,Obsidian (Lux #1),2,14.86,https://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
77,77,"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
19,19,It's Only the Himalayas,2,45.17,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
21,21,How Music Works,2,37.32,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg
41,41,Reasons to Stay Alive,2,26.41,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
36,36,Maude (1883-1993):She Grew Up with the country,2,18.02,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg
39,39,You can't bury them all: Poems,2,33.63,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg
44,44,Without Borders (Wanderlove #1),2,45.07,https://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg
10,10,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
75,75,Security,2,39.25,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
74,74,Soul Reader,2,39.58,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
78,78,Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
83,83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
93,93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
91,91,Masks and Shadows,2,56.4,https://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
90,90,My Paris Kitchen: Recipes and Stories,2,33.37,https://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
97,97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,53.9,https://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
95,95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
94,94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
84,84,Patience,3,10.16,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
70,70,The Art Forger,3,40.76,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
88,88,On a Midnight Clear,3,14.07,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
64,64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
69,69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
79,79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
61,61,The Murder That Never Was (Forensic Instincts #5),3,54.11,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
49,49,Unicorn Tracks,3,18.78,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
59,59,The Natural History of Us (The Fine Art of Pretending #2),3,45.22,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
35,35,Penny Maybe,3,33.29,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
52,52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
15,15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
76,76,"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
40,40,Slow States of Collapse: Poems,3,57.31,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
27,27,Aladdin and His Wonderful Lamp,3,53.13,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
26,26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg
31,31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
22,22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg
25,25,Birdsong: A Story in Pictures,3,54.64,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
0,0,A Light in the Attic,3,51.77,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
7,7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
62,62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
53,53,This One Summer,4,19.49,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
47,47,Untitled Collection: Sabbath Poems 2014,4,14.27,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg
38,38,Behind Closed Doors,4,52.22,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
29,29,Wall and Piece,4,44.18,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg
8,8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
3,3,Sharp Objects,4,47.82,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
6,6,The Dirty Little Secrets of Getting Your Dream Job,4,33.34,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
11,11,Shakespeare's Sonnets,4,20.66,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
58,58,The Past Never Ends,4,56.5,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
48,48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
85,85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
92,92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02,https://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
68,68,The Death of Humanity: and the Case for Life,4,58.11,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
99,99,In the Country We Love: My Family Divided,4,22.0,https://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
60,60,The Nameless City (The Nameless City #1),4,38.16,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
63,63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
73,73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
42,42,Private Paris (Private #10),5,47.61,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
54,54,Thirst,5,17.27,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
34,34,Sophie's World,5,15.94,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
32,32,The Elephant Tree,5,23.82,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
46,46,"We Love You, Charlie Freeman",5,50.27,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
43,43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
30,30,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
14,14,Rip it Up and Start Again,5,35.02,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
13,13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
12,12,Set Me Free,5,17.46,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
4,4,Sapiens: A Brief History of Humankind,5,54.23,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
23,23,Chase Me (Paris Nights #2),5,25.27,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg
24,24,Black Dust,5,34.53,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg
28,28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
72,72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
80,80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
81,81,Princess Between Worlds (Wide-Awake Princess #5),5,13.34,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
65,65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
98,98,Join,5,35.67,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
